R, G, B
6160, 6921, 7398
6157, 6927, 7402
6215, 6995, 7480
6243, 7042, 7523
6225, 7043, 7521
6216, 7044, 7516
6187, 7017, 7481
6179, 7027, 7492
6226, 7069, 7535
6265, 7111, 7567
6288, 7128, 7580
6223, 7043, 7496
6195, 6997, 7468
6144, 6946, 7426
6130, 6942, 7421
6136, 6956, 7434
6164, 6983, 7459
6169, 6982, 7449
6147, 6963, 7420
6091, 6919, 7370
6071, 6918, 7355
6090, 6940, 7364
6096, 6953, 7365
6100, 6943, 7360
6102, 6955, 7369
6109, 6957, 7371
6118, 6958, 7375
6083, 6897, 7305
6112, 6914, 7308
6121, 6946, 7327
6072, 6904, 7278
6005, 6850, 7225
6000, 6845, 7218
6055, 6911, 7283
6067, 6936, 7297
6117, 6993, 7358
6137, 7009, 7394
6113, 6979, 7381
6071, 6947, 7360
6028, 6887, 7313
5971, 6817, 7245
5914, 6735, 7177
5850, 6666, 7120
5876, 6679, 7140
5925, 6725, 7179
5971, 6778, 7225
5953, 6764, 7201
6018, 6832, 7266
6094, 6912, 7349
6050, 6884, 7327
5966, 6814, 7257
5948, 6795, 7235
5981, 6799, 7230
6063, 6877, 7301
6083, 6894, 7315
6042, 6841, 7264
6081, 6870, 7290
6154, 6967, 7374
6194, 7004, 7388
6214, 7013, 7392
6203, 7020, 7394
6123, 6932, 7319
6067, 6935, 7331
6060, 7087, 7474
6014, 7113, 7491
5992, 7060, 7436
6074, 7048, 7430
6087, 6969, 7359
6076, 6932, 7310
6034, 6907, 7278
5997, 6886, 7251
6039, 6909, 7281
6027, 6887, 7253
6000, 6856, 7209
6053, 6893, 7248
6140, 6960, 7317
6218, 7020, 7370
6229, 7075, 7427
6194, 7126, 7486
6165, 7160, 7522
6159, 7153, 7519
6186, 7181, 7541
6226, 7185, 7529
6169, 7080, 7398
6103, 7011, 7327
6212, 7092, 7393
6266, 7102, 7363
6290, 7073, 7315
6252, 7026, 7286
6166, 6922, 7228
6128, 6854, 7183
6068, 6768, 7086
6089, 6787, 7106
6107, 6817, 7152
6153, 6873, 7214
6139, 6859, 7206
6136, 6869, 7223
6201, 6914, 7264
6249, 6945, 7266
6313, 6999, 7248
6421, 7107, 7313
6476, 7168, 7380
6475, 7169, 7382
6464, 7180, 7441
6483, 7220, 7540
6453, 7195, 7580
6459, 7192, 7572
6480, 7199, 7546
6489, 7205, 7526
6516, 7236, 7530
6490, 7203, 7475
6414, 7121, 7390
6368, 7083, 7348
6333, 7049, 7326
6311, 7024, 7300
6350, 7053, 7298
6328, 6990, 7182
6299, 6936, 7127
6190, 6878, 7176
6178, 6940, 7360
6282, 7068, 7481
6285, 7050, 7437
6292, 7045, 7444
6323, 7072, 7478
6372, 7119, 7539
6389, 7128, 7559
6332, 7058, 7501
6236, 6966, 7424
6236, 6963, 7421
6181, 6888, 7329
6118, 6810, 7247
6107, 6802, 7229
6070, 6768, 7177
6051, 6754, 7144
6068, 6768, 7146
6104, 6798, 7184
6131, 6823, 7205
6139, 6837, 7214
6103, 6813, 7186
6171, 6893, 7267
6315, 7040, 7399
6467, 7215, 7560
6544, 7308, 7641
6547, 7319, 7645
6563, 7344, 7661
6542, 7340, 7655
6470, 7285, 7600
6439, 7267, 7584
6375, 7203, 7516
6302, 7119, 7432
6224, 7045, 7345
6204, 7026, 7324
6203, 7017, 7308
6199, 7007, 7286
6189, 6998, 7260
6197, 7015, 7264
6245, 7079, 7323
6226, 7074, 7316
6235, 7097, 7333
6267, 7127, 7369
6322, 7187, 7435
6395, 7274, 7524
6431, 7316, 7571
6389, 7278, 7524
6361, 7263, 7503
6357, 7275, 7510
6334, 7255, 7487
6305, 7228, 7453
6342, 7286, 7516
6353, 7310, 7546
6369, 7329, 7567
6403, 7363, 7603
6440, 7392, 7638
6446, 7398, 7641
6425, 7365, 7601
6414, 7358, 7599
6389, 7340, 7577
6330, 7283, 7502
6325, 7280, 7492
6263, 7211, 7417
6219, 7156, 7369
6236, 7165, 7379
6294, 7216, 7431
6351, 7255, 7481
6347, 7262, 7488
6391, 7317, 7546
6393, 7328, 7561
6376, 7322, 7551
6364, 7326, 7548
6379, 7366, 7582
6328, 7326, 7536
6299, 7298, 7513
6292, 7287, 7508
6209, 7207, 7438
6099, 7089, 7321
6078, 7063, 7293
6087, 7058, 7291
6132, 7096, 7330
6153, 7107, 7342
6233, 7164, 7418
6237, 7173, 7429
6279, 7223, 7483
6174, 7092, 7358
6021, 6838, 7101
6049, 6743, 6992
6170, 6850, 7075
6188, 6903, 7117
6261, 6968, 7169
6336, 7049, 7240
6381, 7092, 7274
6393, 7108, 7273
6404, 7120, 7267
6425, 7134, 7265
6450, 7157, 7284
6414, 7123, 7239
6438, 7128, 7252
6489, 7172, 7303
6491, 7163, 7315
6468, 7131, 7299
6460, 7133, 7309
6371, 7057, 7236
6346, 7045, 7217
6336, 7041, 7200
6367, 7069, 7221
6366, 7068, 7217
6401, 7105, 7257
6404, 7118, 7282
6450, 7161, 7341
6436, 7143, 7331
6353, 7057, 7252
6326, 7032, 7229
6270, 6953, 7162
6256, 6933, 7142
6261, 6932, 7142
6240, 6897, 7107
6221, 6877, 7083
6222, 6881, 7095
6231, 6899, 7109
6239, 6899, 7103
6220, 6858, 7038
6241, 6872, 7034
6317, 6954, 7110
6331, 6975, 7132
6357, 7001, 7154
6430, 7061, 7215
6462, 7083, 7237
6487, 7102, 7249
6462, 7066, 7205
6431, 7039, 7176
6465, 7082, 7219
6507, 7128, 7259
6489, 7122, 7239
6447, 7088, 7205
6392, 7037, 7153
6368, 7011, 7128
6422, 7039, 7182
6412, 7032, 7174
6405, 7014, 7158
6438, 7036, 7178
6492, 7086, 7229
6511, 7113, 7249
6567, 7175, 7300
6603, 7214, 7346
6554, 7162, 7303
6543, 7154, 7302
6511, 7127, 7283
6532, 7143, 7303
6518, 7134, 7293
6372, 6990, 7146
6344, 6962, 7113
6295, 6907, 7045
6278, 6887, 7035
6344, 6943, 7089
6347, 6936, 7080
6369, 6959, 7103
6353, 6946, 7084
6294, 6892, 7031
6269, 6877, 7017
6250, 6859, 7002
6344, 6940, 7080
6471, 7071, 7211
6532, 7131, 7272
6515, 7110, 7248
6482, 7074, 7201
6421, 7024, 7145
6438, 7053, 7171
6445, 7066, 7178
6361, 6973, 7104
6308, 6923, 7053
6294, 6903, 7039
6304, 6903, 7039
6328, 6923, 7052
6352, 6940, 7072
6396, 6993, 7125
6447, 7049, 7182
6470, 7062, 7190
6436, 7024, 7155
6390, 6979, 7118
6395, 6973, 7118
